filename,label,npy_path
a0175,1,./processed_spectrograms\a0175.npy
a0176,1,./processed_spectrograms\a0176.npy
a0177,1,./processed_spectrograms\a0177.npy
a0178,-1,./processed_spectrograms\a0178.npy
a0179,-1,./processed_spectrograms\a0179.npy
a0180,1,./processed_spectrograms\a0180.npy
a0181,-1,./processed_spectrograms\a0181.npy
a0182,1,./processed_spectrograms\a0182.npy
a0183,1,./processed_spectrograms\a0183.npy
a0184,-1,./processed_spectrograms\a0184.npy
a0185,-1,./processed_spectrograms\a0185.npy
a0186,1,./processed_spectrograms\a0186.npy
a0187,1,./processed_spectrograms\a0187.npy
a0188,1,./processed_spectrograms\a0188.npy
a0189,-1,./processed_spectrograms\a0189.npy
a0190,1,./processed_spectrograms\a0190.npy
a0191,1,./processed_spectrograms\a0191.npy
a0192,1,./processed_spectrograms\a0192.npy
a0193,-1,./processed_spectrograms\a0193.npy
a0194,1,./processed_spectrograms\a0194.npy
a0195,-1,./processed_spectrograms\a0195.npy
a0196,-1,./processed_spectrograms\a0196.npy
a0197,1,./processed_spectrograms\a0197.npy
a0198,1,./processed_spectrograms\a0198.npy
a0199,-1,./processed_spectrograms\a0199.npy
a0200,1,./processed_spectrograms\a0200.npy
a0201,1,./processed_spectrograms\a0201.npy
a0202,1,./processed_spectrograms\a0202.npy
a0203,1,./processed_spectrograms\a0203.npy
a0204,-1,./processed_spectrograms\a0204.npy
a0205,1,./processed_spectrograms\a0205.npy
a0206,1,./processed_spectrograms\a0206.npy
a0207,1,./processed_spectrograms\a0207.npy
a0208,-1,./processed_spectrograms\a0208.npy
a0209,1,./processed_spectrograms\a0209.npy
a0210,-1,./processed_spectrograms\a0210.npy
a0211,-1,./processed_spectrograms\a0211.npy
a0212,-1,./processed_spectrograms\a0212.npy
a0213,1,./processed_spectrograms\a0213.npy
a0214,1,./processed_spectrograms\a0214.npy
a0215,1,./processed_spectrograms\a0215.npy
a0216,1,./processed_spectrograms\a0216.npy
a0217,1,./processed_spectrograms\a0217.npy
a0218,1,./processed_spectrograms\a0218.npy
a0219,1,./processed_spectrograms\a0219.npy
a0220,1,./processed_spectrograms\a0220.npy
a0221,1,./processed_spectrograms\a0221.npy
a0222,1,./processed_spectrograms\a0222.npy
a0223,1,./processed_spectrograms\a0223.npy
a0224,1,./processed_spectrograms\a0224.npy
a0225,1,./processed_spectrograms\a0225.npy
a0226,1,./processed_spectrograms\a0226.npy
a0227,-1,./processed_spectrograms\a0227.npy
a0228,1,./processed_spectrograms\a0228.npy
a0229,-1,./processed_spectrograms\a0229.npy
a0230,1,./processed_spectrograms\a0230.npy
a0231,-1,./processed_spectrograms\a0231.npy
a0232,1,./processed_spectrograms\a0232.npy
a0233,1,./processed_spectrograms\a0233.npy
a0234,1,./processed_spectrograms\a0234.npy
a0235,-1,./processed_spectrograms\a0235.npy
a0236,1,./processed_spectrograms\a0236.npy
a0237,1,./processed_spectrograms\a0237.npy
a0238,-1,./processed_spectrograms\a0238.npy
a0239,1,./processed_spectrograms\a0239.npy
a0240,1,./processed_spectrograms\a0240.npy
a0241,-1,./processed_spectrograms\a0241.npy
a0242,1,./processed_spectrograms\a0242.npy
a0243,-1,./processed_spectrograms\a0243.npy
a0244,1,./processed_spectrograms\a0244.npy
a0245,1,./processed_spectrograms\a0245.npy
a0246,1,./processed_spectrograms\a0246.npy
a0247,1,./processed_spectrograms\a0247.npy
a0248,1,./processed_spectrograms\a0248.npy
a0249,1,./processed_spectrograms\a0249.npy
a0250,-1,./processed_spectrograms\a0250.npy
a0251,1,./processed_spectrograms\a0251.npy
a0252,1,./processed_spectrograms\a0252.npy
a0253,-1,./processed_spectrograms\a0253.npy
a0254,1,./processed_spectrograms\a0254.npy
a0255,1,./processed_spectrograms\a0255.npy
a0256,1,./processed_spectrograms\a0256.npy
a0257,1,./processed_spectrograms\a0257.npy
a0258,1,./processed_spectrograms\a0258.npy
a0259,1,./processed_spectrograms\a0259.npy
a0260,1,./processed_spectrograms\a0260.npy
a0261,1,./processed_spectrograms\a0261.npy
a0262,1,./processed_spectrograms\a0262.npy
a0263,1,./processed_spectrograms\a0263.npy
a0264,-1,./processed_spectrograms\a0264.npy
a0265,1,./processed_spectrograms\a0265.npy
a0266,-1,./processed_spectrograms\a0266.npy
a0267,1,./processed_spectrograms\a0267.npy
a0268,1,./processed_spectrograms\a0268.npy
a0269,1,./processed_spectrograms\a0269.npy
a0270,-1,./processed_spectrograms\a0270.npy
a0271,-1,./processed_spectrograms\a0271.npy
a0272,1,./processed_spectrograms\a0272.npy
a0273,1,./processed_spectrograms\a0273.npy
a0274,-1,./processed_spectrograms\a0274.npy
a0275,1,./processed_spectrograms\a0275.npy
a0276,1,./processed_spectrograms\a0276.npy
a0277,1,./processed_spectrograms\a0277.npy
a0278,1,./processed_spectrograms\a0278.npy
a0279,1,./processed_spectrograms\a0279.npy
a0280,1,./processed_spectrograms\a0280.npy
a0281,1,./processed_spectrograms\a0281.npy
a0282,1,./processed_spectrograms\a0282.npy
a0283,-1,./processed_spectrograms\a0283.npy
a0284,1,./processed_spectrograms\a0284.npy
a0285,-1,./processed_spectrograms\a0285.npy
a0286,1,./processed_spectrograms\a0286.npy
a0287,-1,./processed_spectrograms\a0287.npy
a0288,1,./processed_spectrograms\a0288.npy
a0289,-1,./processed_spectrograms\a0289.npy
a0290,-1,./processed_spectrograms\a0290.npy
a0291,1,./processed_spectrograms\a0291.npy
a0292,1,./processed_spectrograms\a0292.npy
a0293,-1,./processed_spectrograms\a0293.npy
a0294,-1,./processed_spectrograms\a0294.npy
a0295,1,./processed_spectrograms\a0295.npy
a0296,1,./processed_spectrograms\a0296.npy
a0297,1,./processed_spectrograms\a0297.npy
a0298,-1,./processed_spectrograms\a0298.npy
a0299,-1,./processed_spectrograms\a0299.npy
a0300,1,./processed_spectrograms\a0300.npy
a0301,-1,./processed_spectrograms\a0301.npy
a0302,-1,./processed_spectrograms\a0302.npy
a0303,1,./processed_spectrograms\a0303.npy
a0304,-1,./processed_spectrograms\a0304.npy
a0305,1,./processed_spectrograms\a0305.npy
a0306,1,./processed_spectrograms\a0306.npy
a0307,1,./processed_spectrograms\a0307.npy
a0308,1,./processed_spectrograms\a0308.npy
a0309,-1,./processed_spectrograms\a0309.npy
a0310,-1,./processed_spectrograms\a0310.npy
a0311,-1,./processed_spectrograms\a0311.npy
a0312,1,./processed_spectrograms\a0312.npy
a0313,1,./processed_spectrograms\a0313.npy
a0314,1,./processed_spectrograms\a0314.npy
a0315,1,./processed_spectrograms\a0315.npy
a0316,1,./processed_spectrograms\a0316.npy
a0317,1,./processed_spectrograms\a0317.npy
a0318,1,./processed_spectrograms\a0318.npy
a0319,1,./processed_spectrograms\a0319.npy
a0320,1,./processed_spectrograms\a0320.npy
a0321,1,./processed_spectrograms\a0321.npy
a0322,1,./processed_spectrograms\a0322.npy
a0323,-1,./processed_spectrograms\a0323.npy
a0324,1,./processed_spectrograms\a0324.npy
a0325,-1,./processed_spectrograms\a0325.npy
a0326,1,./processed_spectrograms\a0326.npy
a0327,1,./processed_spectrograms\a0327.npy
a0328,-1,./processed_spectrograms\a0328.npy
a0329,-1,./processed_spectrograms\a0329.npy
a0330,-1,./processed_spectrograms\a0330.npy
a0331,1,./processed_spectrograms\a0331.npy
a0332,-1,./processed_spectrograms\a0332.npy
a0333,1,./processed_spectrograms\a0333.npy
a0334,-1,./processed_spectrograms\a0334.npy
a0335,1,./processed_spectrograms\a0335.npy
a0336,1,./processed_spectrograms\a0336.npy
a0337,-1,./processed_spectrograms\a0337.npy
a0338,1,./processed_spectrograms\a0338.npy
a0339,1,./processed_spectrograms\a0339.npy
a0340,-1,./processed_spectrograms\a0340.npy
a0341,1,./processed_spectrograms\a0341.npy
a0342,-1,./processed_spectrograms\a0342.npy
a0343,1,./processed_spectrograms\a0343.npy
a0344,1,./processed_spectrograms\a0344.npy
a0345,1,./processed_spectrograms\a0345.npy
a0346,1,./processed_spectrograms\a0346.npy
a0347,1,./processed_spectrograms\a0347.npy
a0348,1,./processed_spectrograms\a0348.npy
a0349,1,./processed_spectrograms\a0349.npy
a0350,1,./processed_spectrograms\a0350.npy
a0351,-1,./processed_spectrograms\a0351.npy
a0352,-1,./processed_spectrograms\a0352.npy
a0353,-1,./processed_spectrograms\a0353.npy
a0354,1,./processed_spectrograms\a0354.npy
a0355,-1,./processed_spectrograms\a0355.npy
a0356,1,./processed_spectrograms\a0356.npy
a0357,1,./processed_spectrograms\a0357.npy
a0358,1,./processed_spectrograms\a0358.npy
a0359,-1,./processed_spectrograms\a0359.npy
a0360,1,./processed_spectrograms\a0360.npy
a0361,-1,./processed_spectrograms\a0361.npy
a0362,1,./processed_spectrograms\a0362.npy
a0363,1,./processed_spectrograms\a0363.npy
a0364,1,./processed_spectrograms\a0364.npy
a0365,1,./processed_spectrograms\a0365.npy
a0366,1,./processed_spectrograms\a0366.npy
a0367,1,./processed_spectrograms\a0367.npy
a0368,1,./processed_spectrograms\a0368.npy
a0369,1,./processed_spectrograms\a0369.npy
a0370,1,./processed_spectrograms\a0370.npy
a0371,1,./processed_spectrograms\a0371.npy
a0372,1,./processed_spectrograms\a0372.npy
a0373,1,./processed_spectrograms\a0373.npy
a0374,1,./processed_spectrograms\a0374.npy
a0375,1,./processed_spectrograms\a0375.npy
a0376,1,./processed_spectrograms\a0376.npy
a0377,1,./processed_spectrograms\a0377.npy
a0378,1,./processed_spectrograms\a0378.npy
a0379,1,./processed_spectrograms\a0379.npy
a0380,1,./processed_spectrograms\a0380.npy
a0381,1,./processed_spectrograms\a0381.npy
a0382,1,./processed_spectrograms\a0382.npy
a0383,1,./processed_spectrograms\a0383.npy
a0384,1,./processed_spectrograms\a0384.npy
a0385,-1,./processed_spectrograms\a0385.npy
a0386,-1,./processed_spectrograms\a0386.npy
a0387,1,./processed_spectrograms\a0387.npy
a0388,1,./processed_spectrograms\a0388.npy
a0389,1,./processed_spectrograms\a0389.npy
a0390,1,./processed_spectrograms\a0390.npy
a0391,1,./processed_spectrograms\a0391.npy
a0392,1,./processed_spectrograms\a0392.npy
a0393,-1,./processed_spectrograms\a0393.npy
a0394,1,./processed_spectrograms\a0394.npy
a0395,1,./processed_spectrograms\a0395.npy
a0396,1,./processed_spectrograms\a0396.npy
a0397,1,./processed_spectrograms\a0397.npy
a0398,1,./processed_spectrograms\a0398.npy
a0399,1,./processed_spectrograms\a0399.npy
a0400,1,./processed_spectrograms\a0400.npy
a0401,-1,./processed_spectrograms\a0401.npy
a0402,1,./processed_spectrograms\a0402.npy
a0403,1,./processed_spectrograms\a0403.npy
a0404,1,./processed_spectrograms\a0404.npy
a0405,-1,./processed_spectrograms\a0405.npy
a0406,-1,./processed_spectrograms\a0406.npy
a0407,-1,./processed_spectrograms\a0407.npy
a0408,-1,./processed_spectrograms\a0408.npy
a0409,-1,./processed_spectrograms\a0409.npy
b0001,-1,./processed_spectrograms\b0001.npy
b0002,-1,./processed_spectrograms\b0002.npy
b0003,-1,./processed_spectrograms\b0003.npy
b0004,-1,./processed_spectrograms\b0004.npy
b0005,-1,./processed_spectrograms\b0005.npy
b0006,-1,./processed_spectrograms\b0006.npy
b0007,-1,./processed_spectrograms\b0007.npy
b0008,1,./processed_spectrograms\b0008.npy
b0009,-1,./processed_spectrograms\b0009.npy
b0010,-1,./processed_spectrograms\b0010.npy
b0011,-1,./processed_spectrograms\b0011.npy
b0012,-1,./processed_spectrograms\b0012.npy
b0013,1,./processed_spectrograms\b0013.npy
b0014,-1,./processed_spectrograms\b0014.npy
b0015,-1,./processed_spectrograms\b0015.npy
b0016,1,./processed_spectrograms\b0016.npy
b0017,-1,./processed_spectrograms\b0017.npy
b0018,1,./processed_spectrograms\b0018.npy
b0019,-1,./processed_spectrograms\b0019.npy
b0020,-1,./processed_spectrograms\b0020.npy
b0021,-1,./processed_spectrograms\b0021.npy
b0022,1,./processed_spectrograms\b0022.npy
b0023,1,./processed_spectrograms\b0023.npy
b0024,-1,./processed_spectrograms\b0024.npy
b0025,-1,./processed_spectrograms\b0025.npy
b0026,-1,./processed_spectrograms\b0026.npy
b0027,-1,./processed_spectrograms\b0027.npy
b0028,-1,./processed_spectrograms\b0028.npy
b0029,-1,./processed_spectrograms\b0029.npy
b0030,1,./processed_spectrograms\b0030.npy
b0031,-1,./processed_spectrograms\b0031.npy
b0032,1,./processed_spectrograms\b0032.npy
b0033,1,./processed_spectrograms\b0033.npy
b0034,-1,./processed_spectrograms\b0034.npy
b0035,-1,./processed_spectrograms\b0035.npy
b0036,-1,./processed_spectrograms\b0036.npy
b0037,1,./processed_spectrograms\b0037.npy
b0038,-1,./processed_spectrograms\b0038.npy
b0039,-1,./processed_spectrograms\b0039.npy
b0040,1,./processed_spectrograms\b0040.npy
b0041,1,./processed_spectrograms\b0041.npy
b0042,-1,./processed_spectrograms\b0042.npy
b0043,1,./processed_spectrograms\b0043.npy
b0044,-1,./processed_spectrograms\b0044.npy
b0045,-1,./processed_spectrograms\b0045.npy
b0046,1,./processed_spectrograms\b0046.npy
b0047,-1,./processed_spectrograms\b0047.npy
b0048,1,./processed_spectrograms\b0048.npy
b0049,-1,./processed_spectrograms\b0049.npy
b0050,-1,./processed_spectrograms\b0050.npy
b0051,-1,./processed_spectrograms\b0051.npy
b0052,-1,./processed_spectrograms\b0052.npy
b0053,-1,./processed_spectrograms\b0053.npy
b0054,1,./processed_spectrograms\b0054.npy
b0055,-1,./processed_spectrograms\b0055.npy
b0056,-1,./processed_spectrograms\b0056.npy
b0057,1,./processed_spectrograms\b0057.npy
b0058,-1,./processed_spectrograms\b0058.npy
b0059,-1,./processed_spectrograms\b0059.npy
b0060,-1,./processed_spectrograms\b0060.npy
b0061,-1,./processed_spectrograms\b0061.npy
b0062,-1,./processed_spectrograms\b0062.npy
b0063,1,./processed_spectrograms\b0063.npy
b0064,-1,./processed_spectrograms\b0064.npy
b0065,-1,./processed_spectrograms\b0065.npy
b0066,-1,./processed_spectrograms\b0066.npy
b0067,-1,./processed_spectrograms\b0067.npy
b0068,1,./processed_spectrograms\b0068.npy
b0069,-1,./processed_spectrograms\b0069.npy
b0070,-1,./processed_spectrograms\b0070.npy
b0071,-1,./processed_spectrograms\b0071.npy
b0072,-1,./processed_spectrograms\b0072.npy
b0073,-1,./processed_spectrograms\b0073.npy
b0074,-1,./processed_spectrograms\b0074.npy
b0075,-1,./processed_spectrograms\b0075.npy
b0076,-1,./processed_spectrograms\b0076.npy
b0077,1,./processed_spectrograms\b0077.npy
b0078,-1,./processed_spectrograms\b0078.npy
b0079,-1,./processed_spectrograms\b0079.npy
b0080,-1,./processed_spectrograms\b0080.npy
b0081,1,./processed_spectrograms\b0081.npy
b0082,-1,./processed_spectrograms\b0082.npy
b0083,-1,./processed_spectrograms\b0083.npy
b0084,-1,./processed_spectrograms\b0084.npy
b0085,-1,./processed_spectrograms\b0085.npy
b0086,1,./processed_spectrograms\b0086.npy
b0087,-1,./processed_spectrograms\b0087.npy
b0088,-1,./processed_spectrograms\b0088.npy
b0089,-1,./processed_spectrograms\b0089.npy
b0090,-1,./processed_spectrograms\b0090.npy
b0091,-1,./processed_spectrograms\b0091.npy
b0092,-1,./processed_spectrograms\b0092.npy
b0093,-1,./processed_spectrograms\b0093.npy
b0094,-1,./processed_spectrograms\b0094.npy
b0095,-1,./processed_spectrograms\b0095.npy
b0096,1,./processed_spectrograms\b0096.npy
b0097,-1,./processed_spectrograms\b0097.npy
b0098,-1,./processed_spectrograms\b0098.npy
b0099,-1,./processed_spectrograms\b0099.npy
b0100,-1,./processed_spectrograms\b0100.npy
b0101,-1,./processed_spectrograms\b0101.npy
b0102,-1,./processed_spectrograms\b0102.npy
b0103,-1,./processed_spectrograms\b0103.npy
b0104,-1,./processed_spectrograms\b0104.npy
b0105,-1,./processed_spectrograms\b0105.npy
b0106,1,./processed_spectrograms\b0106.npy
b0107,-1,./processed_spectrograms\b0107.npy
b0108,-1,./processed_spectrograms\b0108.npy
b0109,-1,./processed_spectrograms\b0109.npy
b0110,-1,./processed_spectrograms\b0110.npy
b0111,-1,./processed_spectrograms\b0111.npy
b0112,-1,./processed_spectrograms\b0112.npy
b0113,-1,./processed_spectrograms\b0113.npy
b0114,-1,./processed_spectrograms\b0114.npy
b0115,-1,./processed_spectrograms\b0115.npy
b0116,-1,./processed_spectrograms\b0116.npy
b0117,1,./processed_spectrograms\b0117.npy
b0118,-1,./processed_spectrograms\b0118.npy
b0119,-1,./processed_spectrograms\b0119.npy
b0120,1,./processed_spectrograms\b0120.npy
b0121,-1,./processed_spectrograms\b0121.npy
b0122,-1,./processed_spectrograms\b0122.npy
b0123,-1,./processed_spectrograms\b0123.npy
b0124,-1,./processed_spectrograms\b0124.npy
b0125,-1,./processed_spectrograms\b0125.npy
b0126,-1,./processed_spectrograms\b0126.npy
b0127,-1,./processed_spectrograms\b0127.npy
b0128,-1,./processed_spectrograms\b0128.npy
b0129,-1,./processed_spectrograms\b0129.npy
b0130,1,./processed_spectrograms\b0130.npy
b0131,-1,./processed_spectrograms\b0131.npy
b0132,-1,./processed_spectrograms\b0132.npy
b0133,-1,./processed_spectrograms\b0133.npy
b0134,-1,./processed_spectrograms\b0134.npy
b0135,-1,./processed_spectrograms\b0135.npy
b0136,1,./processed_spectrograms\b0136.npy
b0137,1,./processed_spectrograms\b0137.npy
b0138,-1,./processed_spectrograms\b0138.npy
b0139,-1,./processed_spectrograms\b0139.npy
b0140,1,./processed_spectrograms\b0140.npy
b0141,-1,./processed_spectrograms\b0141.npy
b0142,-1,./processed_spectrograms\b0142.npy
b0143,-1,./processed_spectrograms\b0143.npy
b0144,-1,./processed_spectrograms\b0144.npy
b0145,-1,./processed_spectrograms\b0145.npy
b0146,-1,./processed_spectrograms\b0146.npy
b0147,-1,./processed_spectrograms\b0147.npy
b0148,1,./processed_spectrograms\b0148.npy
b0149,-1,./processed_spectrograms\b0149.npy
b0150,-1,./processed_spectrograms\b0150.npy
b0151,-1,./processed_spectrograms\b0151.npy
b0152,-1,./processed_spectrograms\b0152.npy
b0153,-1,./processed_spectrograms\b0153.npy
b0154,-1,./processed_spectrograms\b0154.npy
b0155,1,./processed_spectrograms\b0155.npy
b0156,-1,./processed_spectrograms\b0156.npy
b0157,-1,./processed_spectrograms\b0157.npy
b0158,-1,./processed_spectrograms\b0158.npy
b0159,1,./processed_spectrograms\b0159.npy
b0160,-1,./processed_spectrograms\b0160.npy
b0161,-1,./processed_spectrograms\b0161.npy
b0162,-1,./processed_spectrograms\b0162.npy
b0163,-1,./processed_spectrograms\b0163.npy
b0164,1,./processed_spectrograms\b0164.npy
b0165,-1,./processed_spectrograms\b0165.npy
b0166,-1,./processed_spectrograms\b0166.npy
b0167,-1,./processed_spectrograms\b0167.npy
b0168,-1,./processed_spectrograms\b0168.npy
b0169,-1,./processed_spectrograms\b0169.npy
b0170,-1,./processed_spectrograms\b0170.npy
b0171,1,./processed_spectrograms\b0171.npy
b0172,-1,./processed_spectrograms\b0172.npy
b0173,-1,./processed_spectrograms\b0173.npy
b0174,-1,./processed_spectrograms\b0174.npy
b0175,-1,./processed_spectrograms\b0175.npy
b0176,1,./processed_spectrograms\b0176.npy
b0177,-1,./processed_spectrograms\b0177.npy
b0178,-1,./processed_spectrograms\b0178.npy
b0179,-1,./processed_spectrograms\b0179.npy
b0180,-1,./processed_spectrograms\b0180.npy
b0181,-1,./processed_spectrograms\b0181.npy
b0182,-1,./processed_spectrograms\b0182.npy
b0183,-1,./processed_spectrograms\b0183.npy
b0184,-1,./processed_spectrograms\b0184.npy
b0185,-1,./processed_spectrograms\b0185.npy
b0186,-1,./processed_spectrograms\b0186.npy
b0187,-1,./processed_spectrograms\b0187.npy
